recipe_name	image	materials_needed	size	obtained_from	sell_price	materials_needed_clean	size_clean
Acoustic guitar	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/b/bb/NH-Acoustic_guitar.png/revision/latest/scale-to-width-down/50?cb=20200326013706"" 	 alt=""NH-Acoustic guitar""  	class="""" 	 	data-image-key=""NH-Acoustic_guitar.png"" 	data-image-name=""NH-Acoustic guitar.png"" 	 	 width=""50""  	 height=""50""  	 	 	 	>"	"8x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/f/f2/NH-softwood-icon.png/revision/latest/scale-to-width-down/18?cb=20200328195710"" 	 alt=""NH-softwood-icon""  	class="""" 	 	data-image-key=""NH-softwood-icon.png"" 	data-image-name=""NH-softwood-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>softwood
3x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/f/fa/NH-iron_nugget-icon.png/revision/latest/scale-to-width-down/18?cb=20200328195115"" 	 alt=""NH-iron nugget-icon""  	class="""" 	 	data-image-key=""NH-iron_nugget-icon.png"" 	data-image-name=""NH-iron nugget-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>iron nugget"	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412"" 	 alt=""NH1.0x1.0sq""  	class="""" 	 	data-image-key=""NH1.0x1.0sq.jpg"" 	data-image-name=""NH1.0x1.0sq.jpg"" 	 	 width=""31""  	 height=""31""  	 	 	 	>"	Message in a bottle	3,210 Bells	8x softwood, 3x iron nugget	1.0x1.0
Apple chair	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/0/02/NH-Apple_chair.png/revision/latest/scale-to-width-down/50?cb=20200325181428"" 	 alt=""NH-Apple chair""  	class="""" 	 	data-image-key=""NH-Apple_chair.png"" 	data-image-name=""NH-Apple chair.png"" 	 	 width=""50""  	 height=""50""  	 	 	 	>"	"10x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/f/ff/NH-apple-icon.png/revision/latest/scale-to-width-down/18?cb=20200328193601"" 	 alt=""NH-apple-icon""  	class="""" 	 	data-image-key=""NH-apple-icon.png"" 	data-image-name=""NH-apple-icon.png"" 	 	 width=""18""  	 height=""19""  	 	 	 	>apple
4x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/0/0d/NH-wood-icon.png/revision/latest/scale-to-width-down/18?cb=20200328200105"" 	 alt=""NH-wood-icon""  	class="""" 	 	data-image-key=""NH-wood-icon.png"" 	data-image-name=""NH-wood-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>wood"	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412"" 	 alt=""NH1.0x1.0sq""  	class="""" 	 	data-image-key=""NH1.0x1.0sq.jpg"" 	data-image-name=""NH1.0x1.0sq.jpg"" 	 	 width=""31""  	 height=""31""  	 	 	 	>"	Tom Nook after receiving first three housing kits, if the native fruit is apples	2,480 Bells	10x apple, 4x wood	1.0x1.0
Aquarius urn	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/9/97/NH-Aquarius_urn.png/revision/latest/scale-to-width-down/50?cb=20200327115056"" 	 alt=""NH-Aquarius urn""  	class="""" 	 	data-image-key=""NH-Aquarius_urn.png"" 	data-image-name=""NH-Aquarius urn.png"" 	 	 width=""50""  	 height=""50""  	 	 	 	>"	NA	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412"" 	 alt=""NH1.0x1.0sq""  	class="""" 	 	data-image-key=""NH1.0x1.0sq.jpg"" 	data-image-name=""NH1.0x1.0sq.jpg"" 	 	 width=""31""  	 height=""31""  	 	 	 	>"	Celeste	NA	NA	1.0x1.0
Aries rocking chair	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/0/0c/NH-Aries_rocking_chair.png/revision/latest/scale-to-width-down/50?cb=20200327040204"" 	 alt=""NH-Aries rocking chair""  	class="""" 	 	data-image-key=""NH-Aries_rocking_chair.png"" 	data-image-name=""NH-Aries rocking chair.png"" 	 	 width=""50""  	 height=""50""  	 	 	 	>"	"3x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/c/c2/NH-star_fragment-icon.png/revision/latest/scale-to-width-down/18?cb=20200328195731"" 	 alt=""NH-star fragment-icon""  	class="""" 	 	data-image-key=""NH-star_fragment-icon.png"" 	data-image-name=""NH-star fragment-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>star fragment
2x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/d/dc/NH-Aries_star_fragment-icon.png/revision/latest/scale-to-width-down/18?cb=20200328211453"" 	 alt=""NH-Aries star fragment-icon""  	class="""" 	 	data-image-key=""NH-Aries_star_fragment-icon.png"" 	data-image-name=""NH-Aries star fragment-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>Aries fragment
1x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/0/08/NH-gold_nugget-icon.png/revision/latest/scale-to-width-down/18?cb=20200328211158"" 	 alt=""NH-gold nugget-icon""  	class="""" 	 	data-image-key=""NH-gold_nugget-icon.png"" 	data-image-name=""NH-gold nugget-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>gold nugget
5x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/0/01/NH-stone-icon.png/revision/latest/scale-to-width-down/18?cb=20200328195755"" 	 alt=""NH-stone-icon""  	class="""" 	 	data-image-key=""NH-stone-icon.png"" 	data-image-name=""NH-stone-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>stone"	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412"" 	 alt=""NH1.0x1.0sq""  	class="""" 	 	data-image-key=""NH1.0x1.0sq.jpg"" 	data-image-name=""NH1.0x1.0sq.jpg"" 	 	 width=""31""  	 height=""31""  	 	 	 	>"	Celeste	NA	3x star fragment, 2x Aries fragment, 1x gold nugget, 5x stone	1.0x1.0
Asteroid	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/8/84/NH-Asteroid.png/revision/latest/scale-to-width-down/50?cb=20200327115824"" 	 alt=""NH-Asteroid""  	class="""" 	 	data-image-key=""NH-Asteroid.png"" 	data-image-name=""NH-Asteroid.png"" 	 	 width=""50""  	 height=""50""  	 	 	 	>"	NA	NA	NA	NA	NA	NA
Astronaut suit	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/b/bd/NH-Astronaut_suit.png/revision/latest/scale-to-width-down/50?cb=20200327214042"" 	 alt=""NH-Astronaut suit""  	class="""" 	 	data-image-key=""NH-Astronaut_suit.png"" 	data-image-name=""NH-Astronaut suit.png"" 	 	 width=""50""  	 height=""50""  	 	 	 	>"	NA	NA	NA	NA	NA	NA
Bamboo basket	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/7/74/NH-Bamboo_basket.png/revision/latest/scale-to-width-down/50?cb=20200327103822"" 	 alt=""NH-Bamboo basket""  	class="""" 	 	data-image-key=""NH-Bamboo_basket.png"" 	data-image-name=""NH-Bamboo basket.png"" 	 	 width=""50""  	 height=""50""  	 	 	 	>"	"7x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/a/ae/NH-bamboo_piece-icon.png/revision/latest/scale-to-width-down/18?cb=20200328211324"" 	 alt=""NH-bamboo piece-icon""  	class="""" 	 	data-image-key=""NH-bamboo_piece-icon.png"" 	data-image-name=""NH-bamboo piece-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>bamboo piece"	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412"" 	 alt=""NH1.0x1.0sq""  	class="""" 	 	data-image-key=""NH1.0x1.0sq.jpg"" 	data-image-name=""NH1.0x1.0sq.jpg"" 	 	 width=""31""  	 height=""31""  	 	 	 	>"	Balloon	1,120 Bells	7x bamboo piece	1.0x1.0
Bamboo bench	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/5/54/NH-Bamboo_bench.png/revision/latest/scale-to-width-down/50?cb=20200327115307"" 	 alt=""NH-Bamboo bench""  	class="""" 	 	data-image-key=""NH-Bamboo_bench.png"" 	data-image-name=""NH-Bamboo bench.png"" 	 	 width=""50""  	 height=""50""  	 	 	 	>"	"8x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/a/ae/NH-bamboo_piece-icon.png/revision/latest/scale-to-width-down/18?cb=20200328211324"" 	 alt=""NH-bamboo piece-icon""  	class="""" 	 	data-image-key=""NH-bamboo_piece-icon.png"" 	data-image-name=""NH-bamboo piece-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>bamboo piece"	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/d/da/NH2.0x1.0sq.jpg/revision/latest?cb=20200324214841"" 	 alt=""NH2.0x1.0sq""  	class=""thumbimage "" 	 	data-image-key=""NH2.0x1.0sq.jpg"" 	data-image-name=""NH2.0x1.0sq.jpg"" 	 	 width=""31""  	 height=""31""  	 	 	 	>"	Balloon	1,280 Bells	8x bamboo piece	2.0x1.0
Bamboo doll	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/a/a3/NH-Bamboo_doll.png/revision/latest/scale-to-width-down/50?cb=20200326021322"" 	 alt=""NH-Bamboo doll""  	class="""" 	 	data-image-key=""NH-Bamboo_doll.png"" 	data-image-name=""NH-Bamboo doll.png"" 	 	 width=""50""  	 height=""50""  	 	 	 	>"	"6x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/b/b4/NH-young_spring_bamboo-icon.png/revision/latest/scale-to-width-down/18?cb=20200328200219"" 	 alt=""NH-young spring bamboo-icon""  	class="""" 	 	data-image-key=""NH-young_spring_bamboo-icon.png"" 	data-image-name=""NH-young spring bamboo-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>young spring bamboo"	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412"" 	 alt=""NH1.0x1.0sq""  	class="""" 	 	data-image-key=""NH1.0x1.0sq.jpg"" 	data-image-name=""NH1.0x1.0sq.jpg"" 	 	 width=""31""  	 height=""31""  	 	 	 	>"	Balloon	2,400 Bells	6x young spring bamboo	1.0x1.0
Bamboo floor lamp	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/5/58/NH-Bamboo_floor_lamp.png/revision/latest/scale-to-width-down/50?cb=20200327120434"" 	 alt=""NH-Bamboo floor lamp""  	class="""" 	 	data-image-key=""NH-Bamboo_floor_lamp.png"" 	data-image-name=""NH-Bamboo floor lamp.png"" 	 	 width=""50""  	 height=""50""  	 	 	 	>"	NA	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412"" 	 alt=""NH1.0x1.0sq""  	class="""" 	 	data-image-key=""NH1.0x1.0sq.jpg"" 	data-image-name=""NH1.0x1.0sq.jpg"" 	 	 width=""31""  	 height=""31""  	 	 	 	>"	NA	NA	NA	1.0x1.0
