recipe_name	image	materials_needed	size	obtained_from	sell_price	materials_needed_clean	size_clean
Medicine	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/c/c0/NH-Medicine.png/revision/latest/scale-to-width-down/50?cb=20200325182005"" 	 alt=""NH-Medicine""  	class="""" 	 	data-image-key=""NH-Medicine.png"" 	data-image-name=""NH-Medicine.png"" 	 	 width=""50""  	 height=""50""  	 	 	 	>"	"1x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/c/c0/NH-wasp_nest-icon.png/revision/latest/scale-to-width-down/18?cb=20200328195950"" 	 alt=""NH-wasp nest-icon""  	class="""" 	 	data-image-key=""NH-wasp_nest-icon.png"" 	data-image-name=""NH-wasp nest-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>wasp nest
3x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/a/a3/NH-clump_of_weeds-icon.png/revision/latest/scale-to-width-down/18?cb=20200328193954"" 	 alt=""NH-clump of weeds-icon""  	class="""" 	 	data-image-key=""NH-clump_of_weeds-icon.png"" 	data-image-name=""NH-clump of weeds-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>clump of weeds"	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412"" 	 alt=""NH1.0x1.0sq""  	class="""" 	 	data-image-key=""NH1.0x1.0sq.jpg"" 	data-image-name=""NH1.0x1.0sq.jpg"" 	 	 width=""31""  	 height=""31""  	 	 	 	>"	A villager after being stung	100 Bells	1x wasp nest, 3x clump of weeds	1.0x1.0
Fish bait	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/b/b0/NH-Fish_bait.png/revision/latest/scale-to-width-down/50?cb=20200325174427"" 	 alt=""NH-Fish bait""  	class="""" 	 	data-image-key=""NH-Fish_bait.png"" 	data-image-name=""NH-Fish bait.png"" 	 	 width=""50""  	 height=""50""  	 	 	 	>"	"1x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/4/4c/NH-manila_clam-icon.png/revision/latest/scale-to-width-down/18?cb=20200328195312"" 	 alt=""NH-manila clam-icon""  	class="""" 	 	data-image-key=""NH-manila_clam-icon.png"" 	data-image-name=""NH-manila clam-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>manila clam"	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412"" 	 alt=""NH1.0x1.0sq""  	class="""" 	 	data-image-key=""NH1.0x1.0sq.jpg"" 	data-image-name=""NH1.0x1.0sq.jpg"" 	 	 width=""31""  	 height=""31""  	 	 	 	>"	Digging up a manila clam	200 Bells	1x manila clam	1.0x1.0
Ocarina	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/5/5d/NH-Ocarina.png/revision/latest/scale-to-width-down/50?cb=20200325182042"" 	 alt=""NH-Ocarina""  	class="""" 	 	data-image-key=""NH-Ocarina.png"" 	data-image-name=""NH-Ocarina.png"" 	 	 width=""50""  	 height=""50""  	 	 	 	>"	"5x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/2/2a/NH-clay-icon.png/revision/latest/scale-to-width-down/18?cb=20200328193929"" 	 alt=""NH-clay-icon""  	class="""" 	 	data-image-key=""NH-clay-icon.png"" 	data-image-name=""NH-clay-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>clay"	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412"" 	 alt=""NH1.0x1.0sq""  	class="""" 	 	data-image-key=""NH1.0x1.0sq.jpg"" 	data-image-name=""NH1.0x1.0sq.jpg"" 	 	 width=""31""  	 height=""31""  	 	 	 	>"	NA	1,000 Bells	5x clay	1.0x1.0
Pan flute	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/5/53/NH-Pan_flute.png/revision/latest/scale-to-width-down/50?cb=20200326053933"" 	 alt=""NH-Pan flute""  	class="""" 	 	data-image-key=""NH-Pan_flute.png"" 	data-image-name=""NH-Pan flute.png"" 	 	 width=""50""  	 height=""50""  	 	 	 	>"	"7x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/b/b4/NH-young_spring_bamboo-icon.png/revision/latest/scale-to-width-down/18?cb=20200328200219"" 	 alt=""NH-young spring bamboo-icon""  	class="""" 	 	data-image-key=""NH-young_spring_bamboo-icon.png"" 	data-image-name=""NH-young spring bamboo-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>young spring bamboo"	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412"" 	 alt=""NH1.0x1.0sq""  	class="""" 	 	data-image-key=""NH1.0x1.0sq.jpg"" 	data-image-name=""NH1.0x1.0sq.jpg"" 	 	 width=""31""  	 height=""31""  	 	 	 	>"	Balloon	2,800 Bells	7x young spring bamboo	1.0x1.0
Bamboo lattice fence x10	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/a/ac/NH-bamboo_lattice_fence.png/revision/latest/scale-to-width-down/50?cb=20200326070636"" 	 alt=""NH-bamboo lattice fence""  	class="""" 	 	data-image-key=""NH-bamboo_lattice_fence.png"" 	data-image-name=""NH-bamboo lattice fence.png"" 	 	 width=""50""  	 height=""50""  	 	 	 	>"	"6x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/a/ae/NH-bamboo_piece-icon.png/revision/latest/scale-to-width-down/18?cb=20200328211324"" 	 alt=""NH-bamboo piece-icon""  	class="""" 	 	data-image-key=""NH-bamboo_piece-icon.png"" 	data-image-name=""NH-bamboo piece-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>bamboo piece"	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412"" 	 alt=""NH1.0x1.0sq""  	class="""" 	 	data-image-key=""NH1.0x1.0sq.jpg"" 	data-image-name=""NH1.0x1.0sq.jpg"" 	 	 width=""31""  	 height=""31""  	 	 	 	>"	Nook Stop (1,000 Nook Miles)	96 Bells (each)	6x bamboo piece	1.0x1.0
Barbed-wire fence x10	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/d/d0/NH-Barbed-wire_fence.png/revision/latest/scale-to-width-down/50?cb=20200326070702"" 	 alt=""NH-Barbed-wire fence""  	class="""" 	 	data-image-key=""NH-Barbed-wire_fence.png"" 	data-image-name=""NH-Barbed-wire fence.png"" 	 	 width=""50""  	 height=""50""  	 	 	 	>"	"4x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/4/4c/NH-hardwood-icon.png/revision/latest/scale-to-width-down/18?cb=20200328195048"" 	 alt=""NH-hardwood-icon""  	class="""" 	 	data-image-key=""NH-hardwood-icon.png"" 	data-image-name=""NH-hardwood-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>hardwood
2x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/f/fa/NH-iron_nugget-icon.png/revision/latest/scale-to-width-down/18?cb=20200328195115"" 	 alt=""NH-iron nugget-icon""  	class="""" 	 	data-image-key=""NH-iron_nugget-icon.png"" 	data-image-name=""NH-iron nugget-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>iron nugget"	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412"" 	 alt=""NH1.0x1.0sq""  	class="""" 	 	data-image-key=""NH1.0x1.0sq.jpg"" 	data-image-name=""NH1.0x1.0sq.jpg"" 	 	 width=""31""  	 height=""31""  	 	 	 	>"	Nook Stop (1,000 Nook Miles)	198 Bells (each)	4x hardwood, 2x iron nugget	1.0x1.0
Brick Fence x10	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/8/8c/NH-Brick_fence.png/revision/latest/scale-to-width-down/50?cb=20200326070747"" 	 alt=""NH-Brick fence""  	class="""" 	 	data-image-key=""NH-Brick_fence.png"" 	data-image-name=""NH-Brick fence.png"" 	 	 width=""50""  	 height=""50""  	 	 	 	>"	"6x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/2/2a/NH-clay-icon.png/revision/latest/scale-to-width-down/18?cb=20200328193929"" 	 alt=""NH-clay-icon""  	class="""" 	 	data-image-key=""NH-clay-icon.png"" 	data-image-name=""NH-clay-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>clay"	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412"" 	 alt=""NH1.0x1.0sq""  	class="""" 	 	data-image-key=""NH1.0x1.0sq.jpg"" 	data-image-name=""NH1.0x1.0sq.jpg"" 	 	 width=""31""  	 height=""31""  	 	 	 	>"	Nook Stop (1,000 Nook Miles)	120 Bells (each)	6x clay	1.0x1.0
Corral fence x10	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/8/8e/NH-Corral_fence.png/revision/latest/scale-to-width-down/50?cb=20200327000329"" 	 alt=""NH-Corral fence""  	class="""" 	 	data-image-key=""NH-Corral_fence.png"" 	data-image-name=""NH-Corral fence.png"" 	 	 width=""50""  	 height=""50""  	 	 	 	>"	"6x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/0/0d/NH-wood-icon.png/revision/latest/scale-to-width-down/18?cb=20200328200105"" 	 alt=""NH-wood-icon""  	class="""" 	 	data-image-key=""NH-wood-icon.png"" 	data-image-name=""NH-wood-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>wood"	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412"" 	 alt=""NH1.0x1.0sq""  	class="""" 	 	data-image-key=""NH1.0x1.0sq.jpg"" 	data-image-name=""NH1.0x1.0sq.jpg"" 	 	 width=""31""  	 height=""31""  	 	 	 	>"	Nook Stop (1,000 Nook Miles)	72 Bells (each)	6x wood	1.0x1.0
Country fence x10	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/0/07/NH-Country_fence.png/revision/latest/scale-to-width-down/50?cb=20200327000304"" 	 alt=""NH-Country fence""  	class="""" 	 	data-image-key=""NH-Country_fence.png"" 	data-image-name=""NH-Country fence.png"" 	 	 width=""50""  	 height=""50""  	 	 	 	>"	"6x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/4/4c/NH-hardwood-icon.png/revision/latest/scale-to-width-down/18?cb=20200328195048"" 	 alt=""NH-hardwood-icon""  	class="""" 	 	data-image-key=""NH-hardwood-icon.png"" 	data-image-name=""NH-hardwood-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>hardwood"	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412"" 	 alt=""NH1.0x1.0sq""  	class="""" 	 	data-image-key=""NH1.0x1.0sq.jpg"" 	data-image-name=""NH1.0x1.0sq.jpg"" 	 	 width=""31""  	 height=""31""  	 	 	 	>"	Nook Stop (1,000 Nook Miles)	72 Bells (each)	6x hardwood	1.0x1.0
Imperial fence x10	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/4/42/NH-Imperial_fence.png/revision/latest/scale-to-width-down/50?cb=20200325181853"" 	 alt=""NH-Imperial fence""  	class="""" 	 	data-image-key=""NH-Imperial_fence.png"" 	data-image-name=""NH-Imperial fence.png"" 	 	 width=""50""  	 height=""50""  	 	 	 	>"	"6x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/0/0d/NH-wood-icon.png/revision/latest/scale-to-width-down/18?cb=20200328200105"" 	 alt=""NH-wood-icon""  	class="""" 	 	data-image-key=""NH-wood-icon.png"" 	data-image-name=""NH-wood-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>wood
4x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/f/f2/NH-softwood-icon.png/revision/latest/scale-to-width-down/18?cb=20200328195710"" 	 alt=""NH-softwood-icon""  	class="""" 	 	data-image-key=""NH-softwood-icon.png"" 	data-image-name=""NH-softwood-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>softwood"	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412"" 	 alt=""NH1.0x1.0sq""  	class="""" 	 	data-image-key=""NH1.0x1.0sq.jpg"" 	data-image-name=""NH1.0x1.0sq.jpg"" 	 	 width=""31""  	 height=""31""  	 	 	 	>"	Nook Stop (1,000 Nook Miles)	120 Bells (each)	6x wood, 4x softwood	1.0x1.0
