name	image	price	location	time	jan	feb	mar	apr	may	jun	jul	aug	sep	oct	nov	dec
Common butterfly	https://vignette.wikia.nocookie.net/animalcrossing/images/5/58/Common_Butterfly_HHD_Icon.png/revision/latest?cb=20161105194447	160	Flying	4 AM - 7 PM	✓	✓	✓	✓	✓	✓	-	-	✓	✓	✓	✓
Yellow butterfly	https://vignette.wikia.nocookie.net/animalcrossing/images/d/de/Yellow_Butterfly_HHD_Icon.png/revision/latest?cb=20161105205712	160	Flying	4 AM - 7 PM	-	-	✓	✓	✓	✓	-	-	✓	✓	-	-
Tiger butterfly	https://vignette.wikia.nocookie.net/animalcrossing/images/9/9b/Tiger_Butterfly_HHD_Icon.png/revision/latest?cb=20161105205248	240	Flying	4 AM - 7 PM	-	-	✓	✓	✓	✓	✓	✓	✓	-	-	-
Peacock butterfly	https://vignette.wikia.nocookie.net/animalcrossing/images/0/03/Peacock_Butterfly_HHD_Icon.png/revision/latest?cb=20161105203001	2500	Flying by Hybrid Flowers	4 AM - 7 PM	-	-	✓	✓	✓	✓	-	-	-	-	-	-
Common bluebottle	https://vignette.wikia.nocookie.net/animalcrossing/images/b/bd/Common_Bluebottle_NH_Icon.PNG/revision/latest?cb=20200323171420	300	Flying	4 AM - 7 PM	-	-	-	✓	✓	✓	✓	✓	-	-	-	-
Paper kite butterfly	https://vignette.wikia.nocookie.net/animalcrossing/images/6/63/Paper_Kite_Butterfly_NH_Icon.PNG/revision/latest?cb=20200323171515	1000	Flying	8 AM - 7 PM	✓	✓	✓	✓	✓	✓	✓	✓	✓	✓	✓	✓
Great purple emperor	https://vignette.wikia.nocookie.net/animalcrossing/images/c/c2/Great_Purple_Emperor_NH_Icon.PNG/revision/latest?cb=20200323171457	3000	Flying	4 AM - 7 PM	-	-	-	-	✓	✓	✓	✓	-	-	-	-
Monarch butterfly	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d4/Monarch_Butterfly_HHD_Icon.png/revision/latest?cb=20161105202341	140	Flying	4 AM - 5 PM	-	-	-	-	-	-	-	-	✓	✓	✓	-
Emperor butterfly	https://vignette.wikia.nocookie.net/animalcrossing/images/8/8d/Emperor_Butterfly_HHD_Icon.png/revision/latest?cb=20161105195220	4000	Flying	5 PM - 8 AM	✓	✓	✓	-	-	✓	✓	✓	✓	-	-	✓
Agrias butterfly	https://vignette.wikia.nocookie.net/animalcrossing/images/b/b5/Agrias_Butterfly_HHD.png/revision/latest?cb=20200326025201	3000	Flying	8 AM - 5 PM	-	-	-	✓	✓	✓	✓	✓	✓	-	-	-
Rajah Brooke's birdwing	https://vignette.wikia.nocookie.net/animalcrossing/images/4/4b/Rajahbrookes.png/revision/latest/scale-to-width-down/63?cb=20200325095038	2500	Flying	8 AM - 5 PM	✓	✓	-	✓	✓	✓	✓	✓	✓	-	-	✓
Queen Alexandra's birdwing	https://vignette.wikia.nocookie.net/animalcrossing/images/9/90/Queenalex.png/revision/latest/scale-to-width-down/55?cb=20200325094834	4000	Flying	8 AM - 4 PM	-	-	-	-	✓	✓	✓	✓	✓	-	-	-
Moth	https://vignette.wikia.nocookie.net/animalcrossing/images/f/f9/Moth_HHD_Icon.png/revision/latest?cb=20161105202407	130	Flying by Light	7 PM - 4 AM	✓	✓	✓	✓	✓	✓	✓	✓	✓	✓	✓	✓
Atlas moth	https://vignette.wikia.nocookie.net/animalcrossing/images/4/40/Atlasmoththumb.png/revision/latest/scale-to-width-down/62?cb=20200325094524	3000	On Trees	7 PM - 4 AM	-	-	-	✓	✓	✓	✓	✓	✓	-	-	-
Madagascan sunset moth	https://vignette.wikia.nocookie.net/animalcrossing/images/d/dd/Madagascan_Sunset_Moth_NH_Icon.PNG/revision/latest?cb=20200323171503	2500	Flying	8 AM - 4 PM	-	-	-	✓	✓	✓	✓	✓	✓	-	-	-
Long locust	https://vignette.wikia.nocookie.net/animalcrossing/images/0/05/Long_Locust_HHD_Icon.png/revision/latest?cb=20161105201533	200	On the Ground	8 AM - 7 PM	-	-	-	✓	✓	✓	✓	✓	✓	✓	✓	-
Migratory locust	https://vignette.wikia.nocookie.net/animalcrossing/images/c/c0/Migratory_Locust_HHD_Icon.png/revision/latest?cb=20161105201959	600	On the Ground	8 AM - 7 PM	-	-	-	-	-	-	-	✓	✓	✓	✓	-
