recipe_name	image	obtained_from	item_sell_price	materials_needed	size
Acorn pochette	NA	Balloon	2400	6 x acorn	1.0x1.0
Apple dress	NA	NA	1600	8 x apple	1.0x1.0
Apple hat	NA	NA	1000	5 x apple	1.0x1.0
Apple umbrella	NA	NA	1400	7 x apple	1.0x1.0
Armor shoes	NA	NA	3000	5 x iron nugget	1.0x1.0
Bamboo hat	NA	NA	200	10 x clump of weeds	1.0x1.0
Basket pack	NA	Balloon	2400	6 x young spring bamboo	1.0x1.0
Blue rose crown	NA	NA	12000	6 x blue roses	1.0x1.0
Bunny Day bag	NA	Bunny Day	2400	1 x earth egg, 1 x stone egg, 1 x leaf egg, 1 x wood egg, 1 x sky egg, 1 x water egg	1.0x1.0
Bunny Day crown	NA	Bunny Day	2400	1 x earth egg, 1 x stone egg, 1 x leaf egg, 1 x wood egg, 1 x sky egg, 1 x water egg	1.0x1.0
Cherry-blossom pochette	NA	Balloon during Cherry Blossom Festival	2400	6 x cherry-blossom petal	1.0x1.0
Cherry-blossom umbrella	NA	Balloon during Cherry Blossom Festival	2800	7 x cherry-blossom petal	1.0x1.0
Cherry dress	NA	Message in a bottle	1600	8 x cherry	1.0x1.0
Cherry hat	NA	NA	1000	5 x cherry	1.0x1.0
Cherry umbrella	NA	NA	1400	7 x cherry	1.0x1.0
Chic mum crown	NA	Island resident	960	3 x purple mums, 3 x pink mums	1.0x1.0
Chic rose crown	NA	NA	2880	3 x purple roses, 3 x black roses	1.0x1.0
Chic tulip crown	NA	NA	1440	2 x purple tulips, 2 x pink tulips, 1 x orange tulips	1.0x1.0
Cool pansy crown	NA	Island resident	960	3 x orange pansies, 3 x blue pansies	1.0x1.0
Cool hyacinth crown	NA	NA	1280	4 x blue hyacinths, 2 x pink hyacinths, 2 x orange hyacinths	1.0x1.0
Cool windflower crown	NA	Island resident	960	3 x blue windflowers, 3 x pink windflowers	1.0x1.0
Cosmos crown	NA	Message in a bottle	560	2 x red cosmos, 2 x yellow cosmos, 3 x white cosmos	1.0x1.0
Cute lily crown	NA	Island resident	800	2 x red lilies, 2 x orange lilies, 2 x white lilies	1.0x1.0
Cute rose crown	NA	Message in a bottle	960	3 x pink roses, 3 x orange roses	1.0x1.0
Dark cosmos crown	NA	NA	3360	7 x black cosmos	1.0x1.0
Dark lily crown	NA	NA	960	6 x black lilies	1.0x1.0
Dark tulip crown	NA	NA	800	5 x black tulips	1.0x1.0
Earth-egg outfit	NA	Digging up earth eggs	1200	3 x earth egg	1.0x1.0
Earth-egg shell	NA	Digging up earth eggs	800	2 x earth egg	1.0x1.0
Earth-egg shoes	NA	Digging up earth eggs	800	2 x earth egg	1.0x1.0
Egg party dress	NA	Unlock recipes for all six Bunny Day egg outfits	7200	3 x earth egg, 3 x stone egg, 3 x leaf egg, 3 x wood egg, 3 x sky egg, 3 x water egg	1.0x1.0
Egg party hat	NA	Unlock recipes for all six Bunny Day egg outfits	4800	2 x earth egg, 2 x stone egg, 2 x leaf egg, 2 x wood egg, 2 x sky egg, 2 x water egg	1.0x1.0
Gold armor	NA	"Island resident
Message in a bottle"	80000	8 x gold nugget	1.0x1.0
Gold-armor shoes	NA	NA	40000	4 x gold nugget	1.0x1.0
Gold helmet	NA	NA	50000	5 x gold nugget	1.0x1.0
Gold rose crown	NA	NA	12000	6 x gold roses	1.0x1.0
Grass skirt	NA	Island resident	140	7 x clump of weeds	1.0x1.0
Green grass skirt	NA	Island resident	140	7 x clump of weeds	1.0x1.0
Hyacinth crown	NA	NA	640	4 x red hyacinths, 2 x yellow hyacinths, 2 x white hyacinths	1.0x1.0
Iron armor	NA	NA	6000	8 x iron nugget	1.0x1.0
Knight's helmet	NA	Message in a bottle	3750	5 x iron nugget	1.0x1.0
Knitted-grass backpack	NA	Island resident	400	20 x clump of weeds	1.0x1.0
Leaf	NA	Island resident	80	5 x clump of weeds	1.0x1.0
Leaf mask	NA	Island resident	200	10 x clump of weeds	1.0x1.0
Leaf umbrella	NA	Island resident	300	15 x clump of weeds	1.0x1.0
Leaf-egg outfit	NA	Gather leaf eggs by shaking trees	1200	3 x leaf egg	1.0x1.0
Leaf-egg shell	NA	Gather leaf eggs by shaking trees	800	2 x leaf egg	1.0x1.0
Leaf-egg shoes	NA	Gather leaf eggs by shaking trees	800	2 x leaf egg	1.0x1.0
Lily crown	NA	NA	480	2 x red lilies, 2 x yellow lilies, 2 x white lilies	1.0x1.0
Log pack	NA	Balloon	960	3 x wood, 5 x hardwood	1.0x1.0
Lovely cosmos crown	NA	NA	1120	4 x pink cosmos, 3 x orange cosmos	1.0x1.0
Maple-leaf pochette	NA	NA	2400	6 x maple leaf	1.0x1.0
Maple-leaf umbrella	NA	NA	2800	7 x maple leaf	1.0x1.0
Mum crown	NA	Island resident	480	2 x red mums, 2 x yellow mums, 2 x white mums	1.0x1.0
Mush umbrella	NA	NA	1200	3 x flat mushroom	1.0x1.0
Orange dress	NA	NA	1600	8 x orange	1.0x1.0
Orange hat	NA	NA	1000	5 x orange	1.0x1.0
Orange umbrella	NA	NA	1400	7 x orange	1.0x1.0
Pansy crown	NA	"Island resident
Message in a bottle"	480	2 x red pansies, 2 x yellow pansies, 2 x white pansies	1.0x1.0
Peach dress	NA	Message in a bottle	1600	8 x peach	1.0x1.0
Peach hat	NA	Message in a bottle	1000	5 x peach	1.0x1.0
Peach umbrella	NA	NA	1400	7 x peach	1.0x1.0
Pear dress	NA	Message in a bottle	1600	8 x pear	1.0x1.0
Pear hat	NA	NA	1000	5 x pear	1.0x1.0
Pear umbrella	NA	NA	1400	7 x pear	1.0x1.0
Purple hyacinth crown	NA	NA	2880	6 x purple hyacinths	1.0x1.0
Purple pansy crown	NA	Island resident	2880	6 x purple pansies	1.0x1.0
Purple windflower crown	NA	NA	2880	6 x purple windflowers	1.0x1.0
Recycled boots	NA	Fishing up a boot	40	2 x boot	1.0x1.0
Rose crown	NA	NA	480	2 x red roses, 2 x yellow roses, 2 x white roses	1.0x1.0
Shellfish pochette	NA	Message in a bottle	10800	2 x giant clam, 6 x summer shell	1.0x1.0
Simple mum crown	NA	NA	2880	6 x green mums	1.0x1.0
Sky-egg outfit	NA	Shooting down sky eggs	1200	3 x sky egg	1.0x1.0
Sky-egg shell	NA	Shooting down sky eggs	800	2 x sky egg	1.0x1.0
Sky-egg shoes	NA	Shooting down sky eggs	800	2 x sky egg	1.0x1.0
Snowflake pochette	NA	NA	2400	6 x snowflake	1.0x1.0
Snowperson head	NA	NA	7000	1 x large snowflake, 5 x snowflake	1.0x1.0
Star head	NA	NA	2500	5 x star fragment	1.0x1.0
Star pochette	NA	NA	3000	6 x star fragment	1.0x1.0
Straw umbrella hat	NA	"Island resident
Message in a bottle"	200	10 x clump of weeds	1.0x1.0
Stone-egg outfit	NA	Gather stone eggs by hitting rocks	1200	3 x stone egg	1.0x1.0
Stone-egg shell	NA	Gather stone eggs by hitting rocks	800	2 x stone egg	1.0x1.0
Stone-egg shoes	NA	Gather stone eggs by hitting rocks	800	2 x stone egg	1.0x1.0
Traditional straw coat	NA	Message in a bottle	160	8 x clump of weeds	1.0x1.0
Tulip crown	NA	Message in a bottle	400	2 x red tulips, 2 x yellow tulips, 1 x white tulips	1.0x1.0
Water-egg outfit	NA	Fishing up water Eggs	1200	3 x water egg	1.0x1.0
Water-egg shell	NA	Fishing up water Eggs	800	2 x water egg	1.0x1.0
Water-egg shoes	NA	Fishing up water Eggs	800	2 x water egg	1.0x1.0
Windflower crown	NA	"Island resident
Message in a bottle"	480	2 x red windflowers, 2 x orange windflowers, 2 x white windflowers	1.0x1.0
Wood-egg outfit	NA	Gather wood eggs by hitting trees with an axe	1200	3 x wood egg	1.0x1.0
Wood-egg shell	NA	Gather wood eggs by hitting trees with an axe	800	2 x wood egg	1.0x1.0
Wood-egg shoes	NA	Gather wood eggs by hitting trees with an axe	800	2 x wood egg	1.0x1.0
