recipe_name	image	obtained_from	item_sell_price	recipe_item	materials_needed	size
Acoustic guitar	NA	Message in a bottle	3210	NA	8 x softwood, 3 x iron nugget	1.0x1.0
Angled signpost	NA	NA	600	NA	3 x softwood, 2 x hardwood	1.0x1.0
Apple chair	NA	"Island resident
Tom Nook after receiving first three housing kits, if the native fruit is apples"	2480	NA	10 x apple, 4 x wood	1.0x1.0
Aquarius urn	NA	Celeste	22125	NA	3 x star fragment, 2 x Aquarius fragment, 2 x gold nugget, 5 x stone	1.0x1.0
Aries rocking chair	NA	Celeste	12125	NA	3 x star fragment, 2 x Aries fragment, 1 x gold nugget, 5 x stone	1.0x1.0
Asteroid	NA	Celeste	4000	NA	5 x star fragment, 10 x stone	1.0x1.0
Astronaut suit	NA	Celeste OR Island resident	6250	NA	5 x star fragment, 5 x iron nugget	1.0x1.0
Bamboo basket	NA	Balloon	1120	NA	7 x bamboo piece	1.0x1.0
Bamboo bench	NA	Balloon	1280	NA	8 x bamboo piece	2.0x1.0
Bamboo doll	NA	Balloon	2400	NA	6 x young spring bamboo	1.0x1.0
Bamboo floor lamp	NA	Island resident	1280	NA	8 x bamboo piece	1.0x1.0
Bamboo noodle slide	NA	BalloonIsabelle	3160	NA	7 x young spring bamboo, 3 x wood	3.0x1.0
Bamboo partition	NA	Balloon	2020	NA	7 x bamboo piece, 6 x stone	NA
Bamboo shelf	NA	Message in a bottle	2400	NA	15 x bamboo piece	2.0x1.0
Bamboo speaker	NA	Island resident	1230	NA	3 x bamboo piece, 1 x iron nugget	1.0x1.0
Bamboo stool	NA	Message in a bottle	800	NA	5 x bamboo piece	1.0x1.0
Bamboo stopblock	NA	Island resident	480	NA	3 x bamboo piece	1.0x0.5
Barbell	NA	"Island resident
Message in a bottle"	7500	NA	10 x iron nugget	2.0x1.0
Barrel	NA	"Island resident
Tom Nook"	2100	NA	5 x wood, 2 x iron nugget	1.0x1.0
Beekeeper's hive	NA	Island resident	2400	NA	3 x wasp nest, 5 x wood	1.0x1.0
Big festive tree	NA	NA	3200	NA	6 x red ornament, 6 x blue ornament, 4 x gold ornament, 5 x wood, 5 x clay	2.0x2.0
Birdbath	NA	Tom Nook after receiving first three housing kits	400	NA	6 x stone	1.0x1.0
Birdcage	NA	Island resident	960	NA	8 x wood	1.0x1.0
Birdhouse	NA	Tom Nook after receiving first three housing kits	840	NA	2 x wood, 5 x softwood	1.0x1.0
Blossom-viewing lantern	NA	Balloon	2880	NA	6 x cherry-blossom petal, 4 x hardwood	1.0x1.0
Bonfire	NA	Tom Nook	1230	NA	1 x campfire, 10 x wood	2.0x2.0
Bonsai shelf	NA	Message in a bottle	8460	NA	1 x cherry-blossom bonsai, 1 x pine bonsai tree, 8 x wood	2.0x1.0
Brick oven	NA	Wildest Dreams DIY	3820	NA	8 x clay, 2 x iron nugget, 6 x wood	1.5x1.5
Brick well	NA	Nook Stop (2,000 Nook Miles)	2800	NA	8 x clay, 5 x wood, 1 x flimsy shovel	1.5x1.5
Bunny Day arch	NA	Bunny Day	4800	NA	2 x earth egg, 2 x stone egg, 2 x leaf egg, 2 x wood egg, 2 x sky egg, 2 x water egg	3.0x1.0
Bunny Day bed	NA	Bunny Day	2400	NA	1 x earth egg, 1 x stone egg, 1 x leaf egg, 1 x wood egg, 1 x sky egg, 1 x water egg	2.0x2.0
Bunny Day festive balloons	NA	Bunny Day	1200	NA	1 x stone egg, 1 x wood egg, 1 x water egg	1.0x1.0
Bunny Day merry balloons	NA	Bunny Day	1200	NA	1 x earth egg, 1 x leaf egg, 1 x sky egg	1.0x1.0
Bunny Day stool	NA	Bunny Day	1200	NA	3 x water egg	1.0x1.0
Bunny Day table	NA	Bunny Day	1600	NA	4 x earth egg	1.0x1.0
Bunny Day vanity	NA	Bunny Day	1600	NA	4 x leaf egg	1.0x1.0
Bunny Day wardrobe	NA	Bunny Day	1600	NA	4 x ​​stone egg	1.0x1.0
Butter churn	NA	Message in a bottle	1980	NA	4 x wood, 2 x iron nugget	1.0x1.0
Campfire	NA	Tom Nook (first DIY workshop)	30	✓	3 x tree branch	1.0x1.0
Cancer table	NA	Celeste	21975	NA	3 x star fragment, 2 x Cancer fragment, 2 x gold nugget, 3 x stone	1.0x1.0
