recipe_name	image	obtained_from	item_sell_price	materials_needed	size
Bamboo lattice fence x10	NA	Nook Stop (1,000 Nook Miles)	96  (each)	6 x bamboo piece	1.0x1.0
Barbed-wire fence x10	NA	Nook Stop (1,000 Nook Miles)	198  (each)	4 x hardwood, 2 x iron nugget	1.0x1.0
Brick Fence x10	NA	Nook Stop (1,000 Nook Miles)	120  (each)	6 x clay	1.0x1.0
Bunny Day fence x10	NA	Bunny Day	240  (each)	1 x earth egg, 1 x stone egg, 1 x leaf egg, 1 x wood egg, 1 x sky egg, 1 x water egg	1.0x1.0
Corral fence x10	NA	Nook Stop (1,000 Nook Miles)	72  (each)	6 x wood	1.0x1.0
Country fence x10	NA	Nook Stop (1,000 Nook Miles)	72  (each)	6 x hardwood	1.0x1.0
Hedge x10	NA	Nature Day	55  (each)	6 x clump of weeds, 5 x tree branch, 2 x stone	1.0x1.0
Imperial fence x10	NA	Nook Stop (1,000 Nook Miles)	120  (each)	6 x wood, 4 x softwood	1.0x1.0
Iron-and-stone fence x10	NA	Nook Stop (1,000 Nook Miles)	315  (each)	6 x stone, 3 x iron nugget	1.0x1.0
Iron fence x10	NA	Nook Stop (1,000 Nook Miles)	450  (each)	6 x iron nugget	1.0x1.0
Fish bait	NA	Digging up a manila clam	200	1 x manila clam	1.0x1.0
Lattice fence x10	NA	Nook Stop (1,000 Nook Miles)	96  (each)	8 x softwood	1.0x1.0
Medicine	NA	A villager after being stung	100	1 x wasp nest, 3 x clump of weeds	1.0x1.0
Ocarina	NA	DIY for Beginners (480 Bells from Timmy)	1,000	5 x clay	1.0x1.0
Pan flute	NA	Balloon	2,800	7 x young spring bamboo	1.0x1.0
Pitfall seed	NA	Balloon, Message in a bottle, Villager	140	4 x clump of weeds, 6 x tree branch	1.0x1.0
Rope Fence x10	NA	Nook Stop (1,000 Nook Miles)	300  (each)	4 x iron nugget	1.0x1.0
Simple wooden fence x10	NA	Nook Stop (1,000 Nook Miles)	72  (each)	6 x softwood	1.0x1.0
Spiky fence x10	NA	Nook Stop (1,000 Nook Miles)	96  (each)	8 x hardwood	1.0x1.0
Stone fence x10	NA	Nook Stop (1,000 Nook Miles)	60  (each)	4 x stone	1.0x1.0
Straw fence x10	NA	Nook Stop (1,000 Nook Miles)	56  (each)	10 x clump of weeds, 3 x wood	1.0x1.0
Vertical-board fence x10	NA	Nook Stop (1,000 Nook Miles)	96  (each)	8 x wood	1.0x1.0
Wedding fence x10	NA	NA	411  (each)	5 x iron nugget, 3 x softwood	1.0x1.0
Zen fence x10	NA	Nook Stop (1,000 Nook Miles)	330  (each)	3 x iron nugget, 3 x clay, 3 x stone	1.0x1.0
