recipe_name	image	size	obtained_from	item_sell_price	materials_needed
Apple rug	NA	NA	NA	1200	6 x apple
Apple wall	NA	NA	Message in a bottle	4000	20 x apple
Autumn wall	NA	NA	NA	4700	10 x maple leaf, 5 x wood, 5 x clump of weeds
Backyard lawn	NA	NA	Island resident	600	30 x clump of weeds
Bamboo flooring	NA	NA	NA	2400	15 x bamboo piece
Bamboo wall	NA	NA	NA	2400	15 x bamboo piece
Bamboo-grove wall	NA	NA	Balloon	4300	7 x young spring bamboo, 3 x bamboo shoot
Basement flooring	NA	NA	Island resident	1500	10 x stone
Brown herringbone wall	NA	NA	Message in a bottle	1800	15 x softwood
Bunny Day flooring	NA	NA	Bunny Day	4800	2 x earth egg, 2 x stone egg, 2 x leaf egg, 2 x wood egg, 2 x sky egg, 2 x water egg
Bunny Day rug	NA	https://vignette.wikia.nocookie.net/animalcrossing/images/d/de/NH3.0x3.0sq.jpg/revision/latest?cb=20200324215104	Bunny Day	2400	1 x earth egg, 1 x stone egg, 1 x leaf egg, 1 x wood egg, 1 x sky egg, 1 x water egg
Bunny Day wall	NA	NA	Bunny Day	4800	2 x earth egg, 2 x stone egg, 2 x leaf egg, 2 x wood egg, 2 x sky egg, 2 x water egg
Cabin wall	NA	NA	NA	1800	15 x hardwood
Cherry rug	NA	NA	Island resident	1200	6 x cherry
Cherry wall	NA	NA	Balloon	4000	20 x cherry
Cherry-blossom flooring	NA	NA	Balloon	4400	10 x cherry-blossom petal, 20 x clump of weeds
Cherry-blossom-trees wall	NA	NA	Balloon	4600	10 x cherry-blossom petal, 5 x hardwood
Chocolate herringbone wall	NA	NA	Island resident	1800	15 x softwood
Classic-library wall	NA	NA	"Island resident
Message in a bottle"	1450	10 x book
Colored-leaves flooring	NA	NA	NA	4300	10 x maple leaf, 15 x clump of weeds
Dark bamboo rug	NA	https://vignette.wikia.nocookie.net/animalcrossing/images/9/99/NH3.0x2.0sq.jpg/revision/latest?cb=20200416062231	NA	960	6 x bamboo piece
Dark wooden-mosaic wall	NA	NA	Island resident	1800	15 x wood
Forest flooring	NA	NA	NA	35000	1 x rare mushroom, 2 x round mushroom, 2 x skinny mushroom, 2 x flat mushroom, 10 x clump of weeds
Forest wall	NA	NA	NA	44000	2 x elegant mushroom, 2 x round mushroom, 2 x skinny mushroom, 2 x flat mushroom, 10 x wood
Galaxy flooring	NA	NA	Celeste	7500	5 x star fragment, 1 x large star fragment
Garbage-heap flooring	NA	NA	Fishing up trash	120	2 x empty can, 2 x boot, 2 x old tire
Garbage-heap wall	NA	NA	Fishing up trash	120	2 x empty can, 2 x boot, 2 x old tire
Golden flooring	NA	NA	Balloon	40000	4 x gold nugget
Golden wall	NA	NA	Island resident	40000	4 x gold nugget
Gold-screen wall	NA	NA	NA	20750	2 x gold nugget, 1 x screen wall
