recipe_name	image	obtained_from	item_sell_price	materials_needed	size
Bamboo wall decoration	NA	Message in a bottle	160	1 x bamboo piece	0.5x1.0
Blue rose wreath	NA	NA	20000	10 x blue roses	1.0x1.0
Bone doorplate	NA	Island resident	360	3 x softwood	1.0x1.0
Boomerang	NA	Villager	360	3 x hardwood	1.0x1.0
Bunny Day glowy garland	NA	Bunny Day	2400	1 x earth egg, 1 x stone egg, 1 x leaf egg, 1 x wood egg, 1 x sky egg, 1 x water egg	2.0x1.0
Bunny Day wall clock	NA	"Bunny Day
Island resident"	1200	3 x sky egg	1.0x1.5
Bunny Day wreath	NA	Bunny Day	2400	1 x earth egg, 1 x stone egg, 1 x leaf egg, 1 x wood egg, 1 x sky egg, 1 x water egg	1.0x1.0
Cherry lamp	NA	"Tom Nook after receiving first three housing kits, if the native fruit is cherries
Message in a bottle"	2400	10 x cherry, 2 x clay	1.0x1.0
Cherry-blossom clock	NA	Balloon	2750	5 x cherry-blossom petal, 1 x iron nugget	1.0x1.0
Chic cosmos wreath	NA	NA	4800	10 x black cosmos	1.0x1.0
Chic windflower wreath	NA	NA	4800	10 x purple windflowers	1.0x1.0
Coconut wall planter	NA	Island resident	600	1 x coconut, 5 x clump of weeds	1.0x1.5
Cool hyacinth wreath	NA	NA	1440	3 x orange hyacinths, 3 x blue hyacinths, 3 x pink hyacinths	1.0x1.0
Cool pansy wreath	NA	NA	4800	10 x purple pansies	1.0x1.0
Cool windflower wreath	NA	NA	1200	3 x blue windflowers, 3 x pink windflowers, 3 x white windflowers	1.0x1.0
Cosmos wreath	NA	Tom Nook after receiving first three housing kits, if flowers on top of the player's island are cosmos	720	3 x yellow cosmos, 3 x white cosmos, 3 x red cosmos	1.0x1.0
Crest doorplate	NA	Message in a bottle	3000	4 x iron nugget	1.0x1.0
Dark lily wreath	NA	NA	1600	10 x black lilies	1.0x1.0
Dark rose wreath	NA	NA	4320	3 x black roses, 6 x purple roses	1.0x1.0
Dark tulip wreath	NA	NA	1600	10 x black tulips	1.0x1.0
Deer decoration	NA	Message in a bottle	960	8 x softwood	1.0x1.5
Fancy mum wreath	NA	Message in a bottle	1200	3 x pink mums, 3 x purple mums, 3 x red mums	1.0x1.0
Fancy lily wreath	NA	NA	1200	3 x orange lilies, 3 x pink lilies, 3 x yellow lilies	1.0x1.0
Fancy rose wreath	NA	Message in a bottle	1200	3 x orange roses, 3 x pink roses, 3 x yellow roses	1.0x1.0
Floral swag	NA	Message in a bottle	200	10 x clump of weeds	1.0x1.0
Fossil doorplate	NA	Island resident	500	1 x fossil, 2 x stone	1.0x1.0
Fruit wreath	NA	NA	2000	2 x apple, 1 x pear, 3 x cherry, 3 x orange, 1 x peach	1.0x1.0
Gold rose wreath	NA	NA	20000	10 x gold roses	1.0x1.0
Golden gears	NA	"Island resident
Message in a bottle"	11125	1 x gold nugget, 3 x iron nugget	2.0x1.0
Hanging terrarium	NA	Island resident	3240	12 x clump of weeds, 4 x iron nugget	1.0x1.0
Hyacinth wreath	NA	Message in a bottle	720	3 x white hyacinths, 3 x red hyacinths, 3 x yellow hyacinths	1.0x1.0
Iron doorplate	NA	Balloon	1500	2 x iron nugget	1.0x1.0
Iron wall lamp	NA	Wildest Dreams DIY	3400	4 x iron nugget, 2 x clay	1.0x1.0
Iron wall rack	NA	NA	2450	3 x iron nugget, 1 x clay	1.0x1.0
Ironwood clock	NA	Message in a bottle	1740	2 x wood, 2 x iron nugget	1.0x1.0
