Material	Image	Obtained From	Item Sell Price
Tree branch		Shaking trees	5
Wood		Use axe on a tree	"60 <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/6/60/BellCoin.png/revision/latest/scale-to-width-down/15?cb=20171101043952"" 	 alt=""BellCoin""  	class="""" 	 	data-image-key=""BellCoin.png"" 	data-image-name=""BellCoin.png"" 	 	 width=""15""  	 height=""15""  	 	 	 	>"
Hardwood	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/9/9f/NH-Hardwood.png/revision/latest/scale-to-width-down/100?cb=20200326192143"" 	 alt=""NH-Hardwood""  	class=""thumbimage "" 	 	data-image-key=""NH-Hardwood.png"" 	data-image-name=""NH-Hardwood.png"" 	 	 width=""100""  	 height=""100""  	 	 	 	>"	Use axe on a tree	"60 <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/6/60/BellCoin.png/revision/latest/scale-to-width-down/15?cb=20171101043952"" 	 alt=""BellCoin""  	class="""" 	 	data-image-key=""BellCoin.png"" 	data-image-name=""BellCoin.png"" 	 	 width=""15""  	 height=""15""  	 	 	 	>"
Softwood	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/9/9c/NH-Softwood.png/revision/latest/scale-to-width-down/100?cb=20200326192221"" 	 alt=""NH-Softwood""  	class=""thumbimage "" 	 	data-image-key=""NH-Softwood.png"" 	data-image-name=""NH-Softwood.png"" 	 	 width=""100""  	 height=""100""  	 	 	 	>"	Use axe on a tree	"60 <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/6/60/BellCoin.png/revision/latest/scale-to-width-down/15?cb=20171101043952"" 	 alt=""BellCoin""  	class="""" 	 	data-image-key=""BellCoin.png"" 	data-image-name=""BellCoin.png"" 	 	 width=""15""  	 height=""15""  	 	 	 	>"
Stone	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/d/d2/NH_Stone.png/revision/latest/scale-to-width-down/100?cb=20200326192310"" 	 alt=""NH Stone""  	class=""thumbimage "" 	 	data-image-key=""NH_Stone.png"" 	data-image-name=""NH Stone.png"" 	 	 width=""100""  	 height=""100""  	 	 	 	>"	Hitting rocksShaking treesFishingBalloon presents	"75 <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/6/60/BellCoin.png/revision/latest/scale-to-width-down/15?cb=20171101043952"" 	 alt=""BellCoin""  	class="""" 	 	data-image-key=""BellCoin.png"" 	data-image-name=""BellCoin.png"" 	 	 width=""15""  	 height=""15""  	 	 	 	>"
Clay	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/c/cf/NH-Material_Clay.png/revision/latest/scale-to-width-down/100?cb=20200326192353"" 	 alt=""NH-Material Clay""  	class=""thumbimage "" 	 	data-image-key=""NH-Material_Clay.png"" 	data-image-name=""NH-Material Clay.png"" 	 	 width=""100""  	 height=""100""  	 	 	 	>"	Hitting rocksBalloon presents	"100 <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/6/60/BellCoin.png/revision/latest/scale-to-width-down/15?cb=20171101043952"" 	 alt=""BellCoin""  	class="""" 	 	data-image-key=""BellCoin.png"" 	data-image-name=""BellCoin.png"" 	 	 width=""15""  	 height=""15""  	 	 	 	>"
Iron nugget	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/5/5d/NH_Ironnugget.png/revision/latest/scale-to-width-down/100?cb=20200326192456"" 	 alt=""NH Ironnugget""  	class=""thumbimage "" 	 	data-image-key=""NH_Ironnugget.png"" 	data-image-name=""NH Ironnugget.png"" 	 	 width=""100""  	 height=""100""  	 	 	 	>"	Hitting rocksBalloon presents	"375 <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/6/60/BellCoin.png/revision/latest/scale-to-width-down/15?cb=20171101043952"" 	 alt=""BellCoin""  	class="""" 	 	data-image-key=""BellCoin.png"" 	data-image-name=""BellCoin.png"" 	 	 width=""15""  	 height=""15""  	 	 	 	>"
Gold nugget	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/1/1a/NH-gold_nugget.png/revision/latest/scale-to-width-down/100?cb=20200326192540"" 	 alt=""NH-gold nugget""  	class=""thumbimage "" 	 	data-image-key=""NH-gold_nugget.png"" 	data-image-name=""NH-gold nugget.png"" 	 	 width=""100""  	 height=""100""  	 	 	 	>"	Hitting rocksBalloon presents	"10,000 <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/6/60/BellCoin.png/revision/latest/scale-to-width-down/15?cb=20171101043952"" 	 alt=""BellCoin""  	class="""" 	 	data-image-key=""BellCoin.png"" 	data-image-name=""BellCoin.png"" 	 	 width=""15""  	 height=""15""  	 	 	 	>"
Acorn	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/2/25/NH-Material_acorn.png/revision/latest/scale-to-width-down/100?cb=20200326192625"" 	 alt=""NH-Material acorn""  	class=""thumbimage "" 	 	data-image-key=""NH-Material_acorn.png"" 	data-image-name=""NH-Material acorn.png"" 	 	 width=""100""  	 height=""100""  	 	 	 	>"	Shaking hardwood trees	"200 <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/6/60/BellCoin.png/revision/latest/scale-to-width-down/15?cb=20171101043952"" 	 alt=""BellCoin""  	class="""" 	 	data-image-key=""BellCoin.png"" 	data-image-name=""BellCoin.png"" 	 	 width=""15""  	 height=""15""  	 	 	 	>"
Pinecone	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/0/0b/NH-Material_pinecone.png/revision/latest/scale-to-width-down/100?cb=20200326192801"" 	 alt=""NH-Material pinecone""  	class=""thumbimage "" 	 	data-image-key=""NH-Material_pinecone.png"" 	data-image-name=""NH-Material pinecone.png"" 	 	 width=""100""  	 height=""100""  	 	 	 	>"	Shaking cedar trees	
