Material	Image	Obtained From	Item Sell Price
Tree branch	NA	Shaking trees	5
Wood	NA	Use axe on a tree	60
Hardwood	NA	Use axe on a tree	60
Softwood	NA	Use axe on a tree	60
Stone	NA	Hitting rocksShaking treesFishingBalloon presents	75
Clay	NA	Hitting rocksBalloon presents	100
Iron nugget	NA	Hitting rocksBalloon presents	375
Gold nugget	NA	Hitting rocksBalloon presents	10,000
Bamboo piece	NA	Use axe on bamboo	80
Bamboo shoot	NA	Digging near bamboo	250
Clump of weeds	NA	Pulling off of ground	10
Misc. Flowers	NA	Pulling off of ground	
Misc. Fruit	NA	Shaking treesPurchasing	100 (native fruit)250 (coconuts)500 (foreign fruit)
Wasp nest	NA	Shaking trees	300
Rusted part	NA	Recycling bin after a Gulliver visit or by not turning the Communicator Parts into Gulliver before the next day.	10
Misc. Trash	NA	Fishing	10
Misc. Clothing	NA	CraftingShaking treesPopping balloonsPurchasing	Variable
Misc. Furniture	NA	CraftingShaking treesPopping balloonsPurchasing	Variable
Misc. Tools	NA	CraftingPurchasing	Variable
Misc. Shells	NA	On beach	60-900
Manila Clam	NA	Digging on beaches where water is shooting out of sand	60
Fossil	NA	Digging with Shovel	100 (unassessed)Variable(assessed)
Star fragment	NA	On beach the day after wishing on a star	250
Large star fragment	NA	On beach the day after wishing on a star	2,500
