Recipe Name	Image	Materials Needed	Size	Obtained From	Item Sell Price
Acorn pochette	NA	6x acorn	NA	Balloon	2,400
Apple dress	NA	8x apple	NA		1,600
Apple hat	NA	5x apple	NA		1,000
Apple umbrella	NA	7x apple	NA		1,400
Armor shoes	NA	5x iron nugget	NA		3,000
Bamboo hat	NA	10x clump of weeds	NA		200
Basket pack	NA	6x young spring bamboo	NA	Balloon	2,400
Blue rose crown	NA	6x blue roses	NA		12,000
Bunny Day bag	NA	1x earth egg1x stone egg1x leaf egg1x wood egg1x sky egg1x water egg	NA	Bunny Day	2,400
Bunny Day crown	NA	1x earth egg1x stone egg1x leaf egg1x wood egg1x sky egg1x water egg	NA	Bunny Day	2,400
Cherry-blossom pochette	NA	6x cherry-blossom petal	NA	Balloon during Cherry Blossom Festival	2,400
Cherry-blossom umbrella	NA	7x cherry-blossom petal	NA	Balloon during Cherry Blossom Festival	2,800
Cherry dress	NA	8x cherry	NA	Message in a bottle	1,600
Cherry hat	NA	5x cherry	NA		1,000
Cherry umbrella	NA	7x cherry	NA		1,400
Chic mum crown	NA	3x purple mums3x pink mums	NA	Island resident	960
Chic rose crown	NA	3x purple roses3x black roses	NA		2,880
Chic tulip crown	NA	2x purple tulips2x pink tulips1x orange tulips	NA		1,440
Cool pansy crown	NA	3x orange pansies3x blue pansies	NA	Island resident	960
Cool hyacinth crown	NA	4x blue hyacinths2x pink hyacinths2x orange hyacinths	NA		1,280
Cool windflower crown	NA	3x blue windflowers3x pink windflowers	NA	Island resident	960
Cosmos crown	NA	2x red cosmos2x yellow cosmos3x white cosmos	NA	Message in a bottle	560
Cute lily crown	NA	2x  red lilies2x orange lilies2x white lilies	NA	Island resident	800
Cute rose crown	NA	3x pink roses3x orange roses	NA	Message in a bottle	960
Dark cosmos crown	NA	7x black cosmos	NA		3,360
Dark lily crown	NA	6x black lilies	NA		960
Dark tulip crown	NA	5x black tulips	NA		800
Earth-egg outfit	NA	3x earth egg	NA	Digging up earth eggs	1200
Earth-egg shell	NA	2x earth egg	NA	Digging up earth eggs	800
Earth-egg shoes	NA	2x earth egg	NA	Digging up earth eggs	800
Egg party dress	NA	3x earth egg3x stone egg3x leaf egg3x wood egg3x sky egg3x water egg	NA	Unlock recipes for all six Bunny Day egg outfits	7,200
Egg party hat	NA	2x earth egg2x stone egg2x leaf egg2x wood egg2x sky egg2x water egg	NA	Unlock recipes for all six Bunny Day egg outfits	4,800
Gold armor	NA	8x gold nugget	NA	"Island resident
Message in a bottle"	80,000
Gold-armor shoes	NA	4x gold nugget	NA		40,000
Gold helmet	NA	5x gold nugget	NA		50,000
Gold rose crown	NA	6x gold roses	NA		12,000
Grass skirt	NA	7x clump of weeds	NA	Island resident	140
Green grass skirt	NA	7x clump of weeds	NA	Island resident	140
Hyacinth crown	NA	4x red hyacinths2x yellow hyacinths2x white hyacinths	NA		640
Iron armor	NA	8x iron nugget	NA		6,000
Knight's helmet	NA	5x iron nugget	NA	Message in a bottle	3,750
Knitted-grass backpack	NA	20x clump of weeds	NA	Island resident	400
Leaf	NA	5x clump of weeds	NA	Island resident	80
Leaf mask	NA	10x clump of weeds	NA	Island resident	200
Leaf umbrella	NA	15x clump of weeds	NA	Island resident	300
Leaf-egg outfit	NA	3x leaf egg	NA	Gather leaf eggs by shaking trees	1,200
Leaf-egg shell	NA	2x leaf egg	NA	Gather leaf eggs by shaking trees	800
Leaf-egg shoes	NA	2x leaf egg	NA	Gather leaf eggs by shaking trees	800
Lily crown	NA	2x red lilies2x yellow lilies2x white lilies	NA		480
Log pack	NA	3x wood5x hardwood	NA	Balloon	960
Lovely cosmos crown	NA	4x pink cosmos3x orange cosmos	NA		1,120
Maple-leaf pochette	NA	6x maple leaf	NA		2400
Maple-leaf umbrella	NA	7x maple leaf	NA		2,800
