Recipe Name	Image	Materials Needed	Size	Obtained From	Item Sell Price	Recipe Item
Acoustic guitar	NA	8x softwood3x iron nugget	NA	Message in a bottle	3,210	
Angled signpost	NA	3x softwood2x hardwood	NA		600	
Apple chair	NA	10x apple4x wood	NA	"Island resident
Tom Nook after receiving first three housing kits, if the native fruit is apples"	2,480	
Aquarius urn	NA	3x star fragment2x Aquarius fragment2x gold nugget5x stone	NA	Celeste	22,125	
Aries rocking chair	NA	3x star fragment2x Aries fragment1x gold nugget5x stone	NA	Celeste	12,125	
Asteroid	NA	5x star fragment10x stone	NA	Celeste	4,000	
Astronaut suit	NA	5x star fragment5x iron nugget	NA	Celeste OR Island resident	6,250	
Bamboo basket	NA	7x bamboo piece	NA	Balloon	1,120	
Bamboo bench	NA	8x bamboo piece	NA	Balloon	1,280	
Bamboo doll	NA	6x young spring bamboo	NA	Balloon	2,400	
Bamboo floor lamp	NA	8x bamboo piece	NA	Island resident	1,280	
Bamboo noodle slide	NA	7x young spring bamboo3x wood	NA	BalloonIsabelle	3,160	
Bamboo partition	NA	7x bamboo piece6x stone	NA	Balloon	2,020	
Bamboo shelf	NA	15x bamboo piece	NA	Message in a bottle	2,400	
Bamboo speaker	NA	3x bamboo piece1x iron nugget	NA	Island resident	1,230	
Bamboo stool	NA	5x bamboo piece	NA	Message in a bottle	800	
Bamboo stopblock	NA	3x bamboo piece	NA	Island resident	480	
Barbell	NA	10x iron nugget	NA	"Island resident
Message in a bottle"	7,500	
Barrel	NA	5x wood2x iron nugget	NA	"Island resident
Tom Nook"	2,100	
Beekeeper's hive	NA	3x wasp nest5x wood	NA	Island resident	2,400	
Big festive tree	NA	6x red ornament6x blue ornament4x gold ornament5x wood5x clay	NA		3,200	
Birdbath	NA	6x stone	NA	Tom Nook after receiving first three housing kits	400	
Birdcage	NA	8x wood	NA	Island resident	960	
Birdhouse	NA	2x wood5x softwood	NA	Tom Nook after receiving first three housing kits	840	
Blossom-viewing lantern	NA	6x cherry-blossom petal4x hardwood	NA	Balloon	2,880	
Bonfire	NA	1x campfire10x wood	NA	Tom Nook	1,230	
Bonsai shelf	NA	1x cherry-blossom bonsai1x pine bonsai tree8x wood	NA	Message in a bottle	8,460	
Brick oven	NA	8x clay2x iron nugget6x wood	NA	Wildest Dreams DIY	3,820	
Brick well	NA	8x clay5x wood1x flimsy shovel	NA	Nook Stop (2,000 Nook Miles)	2,800	
Bunny Day arch	NA	2x earth egg2x stone egg2x leaf egg2x wood egg2x sky egg2x water egg	NA	Bunny Day	4,800	
