Recipe Name	Image	Materials Needed	Size	Obtained From	Item Sell Price
Bamboo lattice fence x10		6x bamboo piece	NA	Nook Stop (1,000 Nook Miles)	96  (each)
Barbed-wire fence x10		4x hardwood2x iron nugget	NA	Nook Stop (1,000 Nook Miles)	198  (each)
Brick Fence x10		6x clay	NA	Nook Stop (1,000 Nook Miles)	120  (each)
Bunny Day fence x10		1x earth egg1x stone egg1x leaf egg1x wood egg1x sky egg1x water egg	NA	Bunny Day	240  (each)
Corral fence x10		6x wood	NA	Nook Stop (1,000 Nook Miles)	72  (each)
Country fence x10		6x hardwood	NA	Nook Stop (1,000 Nook Miles)	72  (each)
Hedge x10		6x clump of weeds5x tree branch2x stone	NA	Nature Day	55  (each)
Imperial fence x10		6x wood4x softwood	NA	Nook Stop (1,000 Nook Miles)	120  (each)
Iron-and-stone fence x10		6x stone3x iron nugget	NA	Nook Stop (1,000 Nook Miles)	315  (each)
Iron fence x10		6x iron nugget	NA	Nook Stop (1,000 Nook Miles)	450  (each)
Fish bait		1x manila clam	NA	Digging up a manila clam	200
Lattice fence x10		8x softwood	NA	Nook Stop (1,000 Nook Miles)	96  (each)
Medicine		1x wasp nest3x clump of weeds	NA	A villager after being stung	100
Ocarina		5x clay	NA	DIY for Beginners (480 Bells from Timmy)	1,000
Pan flute		7x young spring bamboo	NA	Balloon	2,800
Pitfall seed		4x clump of weeds6x tree branch	NA	Balloon, Message in a bottle, Villager	140
Rope Fence x10		4x iron nugget	NA	Nook Stop (1,000 Nook Miles)	300  (each)
Simple wooden fence x10		6x softwood	NA	Nook Stop (1,000 Nook Miles)	72  (each)
Spiky fence x10		8x hardwood	NA	Nook Stop (1,000 Nook Miles)	96  (each)
Stone fence x10		4x stone	NA	Nook Stop (1,000 Nook Miles)	60  (each)
Straw fence x10		10x clump of weeds3x wood	NA	Nook Stop (1,000 Nook Miles)	56  (each)
Vertical-board fence x10		8x wood	NA	Nook Stop (1,000 Nook Miles)	96  (each)
Wedding fence x10	50px	5x iron nugget3x softwood	NA		411  (each)
Zen fence x10		3x iron nugget3x clay3x stone	NA	Nook Stop (1,000 Nook Miles)	330  (each)
