Recipe Name	Image	Materials Needed	Size	Obtained From	Item Sell Price	Recipe Item
Flimsy axe	NA	5x tree branch1x stone	NA	Tom Nook	200	✔
Stone axe	NA	1x flimsy axe3x wood	NA	Nook Stop (Pretty-Good Tools Recipes)	560	
Axe	NA	1x flimsy axe3x wood1x iron nugget	NA	Nook Stop (Pretty-Good Tools Recipes)	625	✔
Golden axe	NA	1x axe1x gold nugget	NA	Break axes 100 times	10,655	
Flimsy shovel	NA	5x hardwood	NA	Blathers	200	✔
Shovel	NA	1x flimsy shovel1x iron nugget	NA	Nook Stop (Pretty-Good Tools Recipes)	600	✔
Golden shovel	NA	1x shovel1x gold nugget	NA	Assist Gulliver 30 times	10,675	
Flimsy fishing rod	NA	5x tree branch	NA	Tom Nook (first DIY workshop)	100	✔
Fishing rod	NA	1x flimsy fishing rod1x iron nugget	NA	Nook Stop (Pretty-Good Tools Recipes)	600	✔
Golden rod	NA	1x fishing rod1x gold nugget	NA	Complete the fish section of the critterpedia	10,400	
Flimsy net	NA	5x tree branch	NA	Tom Nook (first DIY workshop)	100	✔
Net	NA	1x flimsy net1x iron nugget	NA	Nook Stop (Pretty-Good Tools Recipes)	600	✔
Golden net	NA	1x net1x gold nugget	NA	Complete the bug section of the critterpedia	10,400	
Flimsy watering can	NA	5x softwood	NA	Tom Nook	200	✔
Watering can	NA	1x flimsy watering can1x iron nugget	NA	Nook Stop (Pretty-Good Tools Recipes)	600	✔
Golden watering can	NA	1x watering can1x gold nugget	NA	Attain a 5-star town rating	10,675	
Slingshot	NA	5x hardwood	NA	Timmy	225	✔
Golden slingshot	NA	1x slingshot1x gold nugget	NA	Shoot down 300 balloons; Recipe will be in a golden balloon sometime after	10,300	
Vaulting pole	NA	5x softwood	NA	Blathers	600	
Ladder	NA	4x wood4x hardwood4x softwood	NA	Tom Nook after placing 2nd house plot	1,440	
Star wand	NA	1x large star fragment3x star fragment	NA	Celeste Wandering Island	6,500	
Bamboo wand	NA	6x young spring bamboo3x star fragment	NA	Balloon	3,900	
Mushroom wand	NA	3x skinny mushroom3x star fragment	NA		3,300	
Cherry-blossom wand	NA	3x cherry-blossom petal3x star fragment	NA	Balloon	2,700	
Bunny Day wand	NA	1x wobbling Zipper toy3x star fragment	NA	Zipper (Bunny Day)	11,100	
Cosmos wand	NA	1x white cosmos3x star fragment	NA		1,580	
Hyacinth wand	NA	1x pink hyacinths3x star fragment	NA		1,660	
Lily wand	NA	1x white lilies3x star fragment	NA		1,580	
Mums wand	NA	1x yellow mums3x star fragment	NA		1,580	
Pansy Wand	NA	1x yellow pansies3x star fragment	NA		1,580	
Rose wand	NA	1x red roses3x star fragment	NA		1,580	
Tulip wand	NA	1x red tulips3x star fragment	NA	Balloon	1,580	
Windflower wand	NA	1x orange windflowers3x star fragment	NA		1,580	
Shell wand	NA	3x summer shell3x star fragment	NA		5,100	
Ice wand	NA	1x large snowflake3x star fragment	NA		6,500	
Golden wand	NA	2x gold nugget 3x star fragment	NA	Celeste wandering island	20,750	
Wand	NA	2x star fragment	NA		1,000	
Tree-branch wand	NA	5x tree branch3x star fragment	NA	Celeste wandering island	1,550	
Iron wand	NA	3x iron nugget3x star fragment	NA	Celeste wandering island	3,750	
Wedding wand	NA	1x wedding flower stand3x star fragment	NA		3,500	
