Recipe Name	Image	Materials Needed	Size	Obtained From	Item Sell Price	NA
Bamboo wall decoration	NA	1x bamboo piece	NA	Message in a bottle	160	NA
Blue rose wreath	NA	10x blue roses	NA		20,000	NA
Bone doorplate	NA	3x softwood	NA	Island resident	360	NA
Boomerang	NA	3x hardwood	NA	Villager	360	NA
Bunny Day glowy garland	NA	1x earth egg1x stone egg1x leaf egg1x wood egg1x sky egg1x water egg	NA	Bunny Day	2,400	NA
Bunny Day wall clock	NA	3x sky egg	NA	"Bunny Day
Island resident"	1,200	NA
Bunny Day wreath	NA	1x earth egg1x stone egg1x leaf egg1x wood egg1x sky egg1x water egg	NA	Bunny Day	2,400	NA
Cherry lamp	NA	10x cherry2x clay	NA	"Tom Nook after receiving first three housing kits, if the native fruit is cherries
Message in a bottle"	2,400	NA
Cherry-blossom clock	NA	5x cherry-blossom petal1x iron nugget	NA	Balloon	2,750	NA
Chic cosmos wreath	NA	10x black cosmos	NA		4,800	NA
Chic windflower wreath	NA	10x purple windflowers	NA		4,800	NA
Coconut wall planter	NA	1x coconut5x clump of weeds	NA	Island resident	600	NA
Cool hyacinth wreath	NA	3x orange hyacinths3x blue hyacinths3x pink hyacinths	NA		1,440	NA
Cool pansy wreath	NA	10x purple pansies	NA		4,800	NA
Cool windflower wreath	NA	3x blue windflowers3x pink windflowers3x white windflowers	NA		1,200	NA
Cosmos wreath	NA	3x yellow cosmos3x white cosmos3x red cosmos	NA	Tom Nook after receiving first three housing kits, if flowers on top of the player's island are cosmos	720	NA
Crest doorplate	NA	4x iron nugget	NA	Message in a bottle	3,000	NA
Dark lily wreath	NA	10x black lilies	NA		1,600	NA
Dark rose wreath	NA	3x black roses6x purple roses	NA		4,320	NA
Dark tulip wreath	NA	10x black tulips	NA		1,600	NA
Deer decoration	NA	8x softwood	NA	Message in a bottle	960	NA
Fancy mum wreath	NA	3x pink mums3x purple mums3x red mums	NA	Message in a bottle	1,200	NA
Fancy lily wreath	NA	3x orange lilies3x pink lilies3x yellow lilies	NA		1,200	NA
Fancy rose wreath	NA	3x orange roses3x pink roses3x yellow roses	NA	Message in a bottle	1,200	NA
Floral swag	NA	10x clump of weeds	NA	Message in a bottle	200	NA
Fossil doorplate	NA	1x fossil2x stone	NA	Island resident	500	NA
Fruit wreath	NA	2x apple1x pear3x cherry3x orange1x peach	NA		2,000	NA
Gold rose wreath	NA	10x gold roses	NA		20,000	NA
Golden gears	NA	1x gold nugget3x iron nugget	NA	"Island resident
Message in a bottle"	11,125	NA
Hanging terrarium	NA	12x clump of weeds4x iron nugget	NA	Island resident	3,240	NA
