Name	Image	Price	Location	Shadow size	Time	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec
Bitterling	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/4/4a/Bitterling_HHD_Icon.png/revision/latest?cb=20161105193556"" 	 alt=""Bitterling HHD Icon""  	class="""" 	 	data-image-key=""Bitterling_HHD_Icon.png"" 	data-image-name=""Bitterling HHD Icon.png"" 	 	 width=""64""  	 height=""64""  	 	 	 	>"	900	River	1	All day	✓	✓	✓	-	-	-	-	-	-	-	✓	✓
Pale chub	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/c/c0/Pale_Chub_HHD_Icon.png/revision/latest?cb=20161105202841"" 	 alt=""Pale Chub HHD Icon""  	class="""" 	 	data-image-key=""Pale_Chub_HHD_Icon.png"" 	data-image-name=""Pale Chub HHD Icon.png"" 	 	 width=""64""  	 height=""64""  	 	 	 	>"	200	River	1	9 AM - 4 PM	✓	✓	✓	✓	✓	✓	✓	✓	✓	✓	✓	✓
Crucian carp	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/e/e8/Crucian_Carp_HHD_Icon.png/revision/latest?cb=20161105194656"" 	 alt=""Crucian Carp HHD Icon""  	class="""" 	 	data-image-key=""Crucian_Carp_HHD_Icon.png"" 	data-image-name=""Crucian Carp HHD Icon.png"" 	 	 width=""64""  	 height=""64""  	 	 	 	>"	160	River	2	All day	✓	✓	✓	✓	✓	✓	✓	✓	✓	✓	✓	✓
Dace	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/8/8c/Dace_HHD_Icon.png/revision/latest?cb=20161105194718"" 	 alt=""Dace HHD Icon""  	class="""" 	 	data-image-key=""Dace_HHD_Icon.png"" 	data-image-name=""Dace HHD Icon.png"" 	 	 width=""64""  	 height=""64""  	 	 	 	>"	240	River	3	4 PM - 9 AM	✓	✓	✓	✓	✓	✓	✓	✓	✓	✓	✓	✓
Carp	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/e/ec/Carp_HHD_Icon.png/revision/latest?cb=20161105194314"" 	 alt=""Carp HHD Icon""  	class="""" 	 	data-image-key=""Carp_HHD_Icon.png"" 	data-image-name=""Carp HHD Icon.png"" 	 	 width=""64""  	 height=""64""  	 	 	 	>"	300	Pond	4	All day	✓	✓	✓	✓	✓	✓	✓	✓	✓	✓	✓	✓
Koi	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/a/a6/Koi_HHD_Icon.png/revision/latest?cb=20161105201225"" 	 alt=""Koi HHD Icon""  	class="""" 	 	data-image-key=""Koi_HHD_Icon.png"" 	data-image-name=""Koi HHD Icon.png"" 	 	 width=""64""  	 height=""64""  	 	 	 	>"	4000	Pond	4	4 PM - 9 AM	✓	✓	✓	✓	✓	✓	✓	✓	✓	✓	✓	✓
Goldfish	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/5/5d/Goldfish_HHD_Icon.png/revision/latest?cb=20161105195723"" 	 alt=""Goldfish HHD Icon""  	class="""" 	 	data-image-key=""Goldfish_HHD_Icon.png"" 	data-image-name=""Goldfish HHD Icon.png"" 	 	 width=""64""  	 height=""64""  	 	 	 	>"	1300	Pond	1	All day	✓	✓	✓	✓	✓	✓	✓	✓	✓	✓	✓	✓
Pop-eyed goldfish	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/3/3c/Popeyed_Goldfish_HHD_Icon.png/revision/latest?cb=20161105203311"" 	 alt=""Popeyed Goldfish HHD Icon""  	class="""" 	 	data-image-key=""Popeyed_Goldfish_HHD_Icon.png"" 	data-image-name=""Popeyed Goldfish HHD Icon.png"" 	 	 width=""64""  	 height=""64""  	 	 	 	>"	1300	Pond	1	9 AM - 4 PM	✓	✓	✓	✓	✓	✓	✓	✓	✓	✓	✓	✓
Ranchu goldfish	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/3/35/Ranchu_Goldfish_NH_Icon.png/revision/latest?cb=20200323203202"" 	 alt=""Ranchu Goldfish NH Icon""  	class="""" 	 	data-image-key=""Ranchu_Goldfish_NH_Icon.png"" 	data-image-name=""Ranchu Goldfish NH Icon.png"" 	 	 width=""64""  	 height=""64""  	 	 	 	>"	4500	Pond	2	9 AM - 4 PM	✓	✓	✓	✓	✓	✓	✓	✓	✓	✓	✓	✓
Killifish	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/3/3f/Killifish_HHD_Icon.png/revision/latest?cb=20161105201157"" 	 alt=""Killifish HHD Icon""  	class="""" 	 	data-image-key=""Killifish_HHD_Icon.png"" 	data-image-name=""Killifish HHD Icon.png"" 	 	 width=""64""  	 height=""64""  	 	 	 	>"	300	Pond	1	All day	-	-	-	✓	✓	✓	✓	✓	-	-	-	-
