Recipe Name	Image	Materials Needed	Size	Obtained From	Item Sell Price	Recipe Item
Acoustic guitar	https://vignette.wikia.nocookie.net/animalcrossing/images/b/bb/NH-Acoustic_guitar.png/revision/latest?cb=20200326013706	8x softwood3x iron nugget	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Message in a bottle	3,210	
Angled signpost	https://vignette.wikia.nocookie.net/animalcrossing/images/f/f6/NH-Angled_signpost.png/revision/latest?cb=20200331055619	3x softwood2x hardwood	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412		600	
Apple chair	https://vignette.wikia.nocookie.net/animalcrossing/images/0/02/NH-Apple_chair.png/revision/latest?cb=20200325181428	10x apple4x wood	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	"Island resident
Tom Nook after receiving first three housing kits, if the native fruit is apples"	2,480	
Aquarius urn	https://vignette.wikia.nocookie.net/animalcrossing/images/9/97/NH-Aquarius_urn.png/revision/latest?cb=20200327115056	3x star fragment2x Aquarius fragment2x gold nugget5x stone	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Celeste	22,125	
Aries rocking chair	https://vignette.wikia.nocookie.net/animalcrossing/images/0/0c/NH-Aries_rocking_chair.png/revision/latest?cb=20200327040204	3x star fragment2x Aries fragment1x gold nugget5x stone	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Celeste	12,125	
Asteroid	https://vignette.wikia.nocookie.net/animalcrossing/images/8/84/NH-Asteroid.png/revision/latest?cb=20200327115824	5x star fragment10x stone	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Celeste	4,000	
Astronaut suit	https://vignette.wikia.nocookie.net/animalcrossing/images/b/bd/NH-Astronaut_suit.png/revision/latest?cb=20200327214042	5x star fragment5x iron nugget	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Celeste OR Island resident	6,250	
Bamboo basket	https://vignette.wikia.nocookie.net/animalcrossing/images/7/74/NH-Bamboo_basket.png/revision/latest?cb=20200327103822	7x bamboo piece	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Balloon	1,120	
Bamboo bench	https://vignette.wikia.nocookie.net/animalcrossing/images/5/54/NH-Bamboo_bench.png/revision/latest?cb=20200327115307	8x bamboo piece	https://vignette.wikia.nocookie.net/animalcrossing/images/d/da/NH2.0x1.0sq.jpg/revision/latest?cb=20200324214841	Balloon	1,280	
Bamboo doll	https://vignette.wikia.nocookie.net/animalcrossing/images/a/a3/NH-Bamboo_doll.png/revision/latest?cb=20200326021322	6x young spring bamboo	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Balloon	2,400	
