Recipe Name	Image	Materials Needed	Size	Obtained From	Item Sell Price	Recipe Item
Aroma pot	https://vignette.wikia.nocookie.net/animalcrossing/images/7/7e/NH-Aroma_holder.png/revision/latest?cb=20200326063101	4x clay	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Message in a bottle	600	NA
Bamboo candleholder	https://vignette.wikia.nocookie.net/animalcrossing/images/4/47/NH-Bamboo_candleholder.png/revision/latest?cb=20200406054705	3x bamboo piece2x clay	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Island resident	880	NA
Bamboo drum	https://vignette.wikia.nocookie.net/animalcrossing/images/e/e1/NH-Bamboo_drum.png/revision/latest?cb=20200326035317	3x bamboo piece2x softwood	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Message in a bottle	720	NA
Bamboo lunch box	https://vignette.wikia.nocookie.net/animalcrossing/images/e/e2/NH-Bamboo_lunch_box.png/revision/latest?cb=20200328074109	4x bamboo piece	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	"Message in a bottle
Island resident"	640	NA
Bamboo-shoot lamp	https://vignette.wikia.nocookie.net/animalcrossing/images/1/14/NH-Bamboo-shoot_lamp.png/revision/latest?cb=20200406054818	4x young spring bamboo5x bamboo shoot4x clay	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Balloon	4,900	NA
Bamboo sphere	https://vignette.wikia.nocookie.net/animalcrossing/images/6/6e/NH-Bamboo_sphere.png/revision/latest?cb=20200328071109	3x bamboo piece	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Island resident	480	NA
Bunny Day lamp	https://vignette.wikia.nocookie.net/animalcrossing/images/b/b1/NH-Bunny_Day_lamp.png/revision/latest?cb=20200402000212	4x wood egg	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Bunny Day	1,600	NA
Cherry-blossom bonsai	https://vignette.wikia.nocookie.net/animalcrossing/images/2/24/NH-Cherry-blossom_bonsai.png/revision/latest?cb=20200329082840	6x cherry-blossom petal2x hardwood3x clump of weeds3x clay	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Balloon	3,300	NA
Cherry speakers	https://vignette.wikia.nocookie.net/animalcrossing/images/a/a2/NH-Cherry_speakers.png/revision/latest?cb=20200326033306	"10x cherry
2x iron nugget"	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	"Tom Nook after receiving first three housing kits, if the native fruit is cherries
Message in a bottle"	3,500	NA
Classic pitcher	https://vignette.wikia.nocookie.net/animalcrossing/images/3/38/NH-Classic_pitcher.png/revision/latest?cb=20200325181619	4x clay	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Tom Nook after receiving first three housing kits	800	NA
Coconut juice	https://vignette.wikia.nocookie.net/animalcrossing/images/c/cf/NH-Coconut_juice.png/revision/latest?cb=20200326063010	1x coconut	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Message in a bottle	500	NA
Cutting board	https://vignette.wikia.nocookie.net/animalcrossing/images/7/7b/NH-Cutting_board.png/revision/latest?cb=20200327121109	2x hardwood1x iron nugget	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412		990	NA
Decoy duck	https://vignette.wikia.nocookie.net/animalcrossing/images/e/e0/NH-Decoy_duck.png/revision/latest?cb=20200326062620	4x softwood	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Island resident	480	NA
Document stack	https://vignette.wikia.nocookie.net/animalcrossing/images/8/85/NH-Document_stack.png/revision/latest?cb=20200327135654	1x scattered papers	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Message in a bottle	400	NA
Firewood	https://vignette.wikia.nocookie.net/animalcrossing/images/b/bb/NH-Firewood.png/revision/latest?cb=20200325181631	8x wood	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412		960	NA
Frozen-treat set	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d1/NH-Frozen-treat_set.png/revision/latest?cb=20200329100529	1xlarge snowflake1xsnowflake	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412		5,400	NA
Fruit basket	https://vignette.wikia.nocookie.net/animalcrossing/images/a/ac/NH-Fruit_basket.png/revision/latest?cb=20200329085208	1x apple1x pear1x cherry1x orange1x peach	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Message in a bottle	1,000	NA
Frying pan	https://vignette.wikia.nocookie.net/animalcrossing/images/7/78/NH-Frying_pan.png/revision/latest?cb=20200325181805	2x iron nugget	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	DIY for Beginners	1,500	NA
Golden arowana model	https://vignette.wikia.nocookie.net/animalcrossing/images/8/87/NH-Gold-arowana_model.png/revision/latest?cb=20200329093433	3x gold nugget	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Message in a bottle	30,000	NA
