Recipe Name	Image	Materials Needed	Size	Obtained From	Item Sell Price
Bamboo lattice fence x10	https://vignette.wikia.nocookie.net/animalcrossing/images/a/ac/NH-bamboo_lattice_fence.png/revision/latest?cb=20200326070636	6x bamboo piece	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Nook Stop (1,000 Nook Miles)	96  (each)
Barbed-wire fence x10	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d0/NH-Barbed-wire_fence.png/revision/latest?cb=20200326070702	4x hardwood2x iron nugget	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Nook Stop (1,000 Nook Miles)	198  (each)
Brick Fence x10	https://vignette.wikia.nocookie.net/animalcrossing/images/8/8c/NH-Brick_fence.png/revision/latest?cb=20200326070747	6x clay	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Nook Stop (1,000 Nook Miles)	120  (each)
Bunny Day fence x10	https://vignette.wikia.nocookie.net/animalcrossing/images/3/3a/NH-Bunny_Day_fence.png/revision/latest?cb=20200402054307	1x earth egg1x stone egg1x leaf egg1x wood egg1x sky egg1x water egg	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Bunny Day	240  (each)
Corral fence x10	https://vignette.wikia.nocookie.net/animalcrossing/images/8/8e/NH-Corral_fence.png/revision/latest?cb=20200327000329	6x wood	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Nook Stop (1,000 Nook Miles)	72  (each)
Country fence x10	https://vignette.wikia.nocookie.net/animalcrossing/images/0/07/NH-Country_fence.png/revision/latest?cb=20200327000304	6x hardwood	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Nook Stop (1,000 Nook Miles)	72  (each)
Hedge x10	NA	6x clump of weeds5x tree branch2x stone	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Nature Day	55  (each)
Imperial fence x10	https://vignette.wikia.nocookie.net/animalcrossing/images/4/42/NH-Imperial_fence.png/revision/latest?cb=20200325181853	6x wood4x softwood	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Nook Stop (1,000 Nook Miles)	120  (each)
Iron-and-stone fence x10	https://vignette.wikia.nocookie.net/animalcrossing/images/7/75/NH-Iron-and-stone_fence.png/revision/latest?cb=20200326071024	6x stone3x iron nugget	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Nook Stop (1,000 Nook Miles)	315  (each)
Iron fence x10	https://vignette.wikia.nocookie.net/animalcrossing/images/7/74/NH-Iron_fence.png/revision/latest?cb=20200325181858	6x iron nugget	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Nook Stop (1,000 Nook Miles)	450  (each)
Fish bait	https://vignette.wikia.nocookie.net/animalcrossing/images/b/b0/NH-Fish_bait.png/revision/latest?cb=20200325174427	1x manila clam	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Digging up a manila clam	200
Lattice fence x10	https://vignette.wikia.nocookie.net/animalcrossing/images/e/e4/NH-Lattice_fence.png/revision/latest?cb=20200325181924	8x softwood	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Nook Stop (1,000 Nook Miles)	96  (each)
Medicine	https://vignette.wikia.nocookie.net/animalcrossing/images/c/c0/NH-Medicine.png/revision/latest?cb=20200325182005	1x wasp nest3x clump of weeds	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	A villager after being stung	100
Ocarina	https://vignette.wikia.nocookie.net/animalcrossing/images/5/5d/NH-Ocarina.png/revision/latest?cb=20200325182042	5x clay	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	DIY for Beginners (480 Bells from Timmy)	1,000
Pan flute	https://vignette.wikia.nocookie.net/animalcrossing/images/5/53/NH-Pan_flute.png/revision/latest?cb=20200326053933	7x young spring bamboo	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Balloon	2,800
