Recipe Name	Image	Materials Needed	Size	Obtained From	Item Sell Price
Apple rug	https://vignette.wikia.nocookie.net/animalcrossing/images/5/5d/NH-Apple_rug.png/revision/latest?cb=20200329070930	6x apple	NA		1,200
Apple wall	https://vignette.wikia.nocookie.net/animalcrossing/images/a/a2/NH-Apple_wall.png/revision/latest?cb=20200326055058	20x apple	NA	Message in a bottle	4,000
Autumn wall	https://vignette.wikia.nocookie.net/animalcrossing/images/a/a7/NH-Autumn_wall.png/revision/latest?cb=20200409050126	10x maple leaf5x wood5x clump of weeds	NA		4,700
Backyard lawn	https://vignette.wikia.nocookie.net/animalcrossing/images/0/0a/NH-Backyard_lawn.png/revision/latest?cb=20200326060311	30x clump of weeds	NA	Island resident	600
Bamboo flooring	https://vignette.wikia.nocookie.net/animalcrossing/images/f/f1/Bamboo_flooring.png/revision/latest?cb=20200329083743	15x bamboo piece	NA		2,400
Bamboo wall	https://vignette.wikia.nocookie.net/animalcrossing/images/6/6f/Bamboo_wall.png/revision/latest?cb=20200329083809	15x bamboo piece	NA		2,400
Bamboo-grove wall	https://vignette.wikia.nocookie.net/animalcrossing/images/8/88/NH-Bamboo-grove_wall.png/revision/latest?cb=20200326044637	7x young spring bamboo3x bamboo shoot	NA	Balloon	4,300
Basement flooring	https://vignette.wikia.nocookie.net/animalcrossing/images/5/5d/NH-Basement_flooring.png/revision/latest?cb=20200409050131	10x stone	NA	Island resident	1,500
Brown herringbone wall	https://vignette.wikia.nocookie.net/animalcrossing/images/6/69/NH-Brown_herringbone_wall.png/revision/latest?cb=20200409044424	15x softwood	NA	Message in a bottle	1,800
Bunny Day flooring	https://vignette.wikia.nocookie.net/animalcrossing/images/5/5f/NH-Bunny_Day_flooring.png/revision/latest?cb=20200402053447	2x earth egg2x stone egg2x leaf egg2x wood egg2x sky egg2x water egg	NA	Bunny Day	4,800
Bunny Day rug	https://vignette.wikia.nocookie.net/animalcrossing/images/4/47/NH-Bunny_Day_rug.png/revision/latest?cb=20200402000308	1x earth egg1x stone egg1x leaf egg1x wood egg1x sky egg1x water egg	https://vignette.wikia.nocookie.net/animalcrossing/images/d/de/NH3.0x3.0sq.jpg/revision/latest?cb=20200324215104	Bunny Day	2,400
Bunny Day wall	https://vignette.wikia.nocookie.net/animalcrossing/images/0/04/NH-Bunny_Day_wall.png/revision/latest?cb=20200402000316	2x earth egg2x stone egg2x leaf egg2x wood egg2x sky egg2x water egg	NA	Bunny Day	4,800
Cabin wall	https://vignette.wikia.nocookie.net/animalcrossing/images/9/9a/NH-Cabin_wall.png/revision/latest?cb=20200325181558	15x hardwood	NA		1,800
Cherry rug	https://vignette.wikia.nocookie.net/animalcrossing/images/a/a2/NH-Cherry_rug.png/revision/latest?cb=20200329071017	6x cherry	NA	Island resident	1,200
Cherry wall	https://vignette.wikia.nocookie.net/animalcrossing/images/0/0a/NH-Cherry_wall.png/revision/latest?cb=20200329072823	20x cherry	NA	Balloon	4,000
Cherry-blossom flooring	https://vignette.wikia.nocookie.net/animalcrossing/images/5/57/NH-Cherry-blossom_flooring_DIY.png/revision/latest?cb=20200409051920	10x cherry-blossom petal20x clump of weeds	NA	Balloon	4,400
Cherry-blossom-trees wall	https://vignette.wikia.nocookie.net/animalcrossing/images/d/db/NH-Cherry-blossom-trees_wall_DIY.png/revision/latest?cb=20200409051928	10x cherry-blossom petal5x hardwood	NA	Balloon	4,600
Chocolate herringbone wall	https://vignette.wikia.nocookie.net/animalcrossing/images/6/6f/NH-Chocolate_herringbone_wall.png/revision/latest?cb=20200409050153	15x softwood	NA	Island resident	1,800
Classic-library wall	https://vignette.wikia.nocookie.net/animalcrossing/images/3/38/NH-Classic-library_wall.png/revision/latest?cb=20200409050159	10x book	NA	"Island resident
Message in a bottle"	1,450
Colored-leaves flooring	https://vignette.wikia.nocookie.net/animalcrossing/images/9/99/NH-Colored-leaves_flooring.png/revision/latest?cb=20200409050206	10x maple leaf15x clump of weeds	NA		4,300
Dark bamboo rug	https://vignette.wikia.nocookie.net/animalcrossing/images/7/7f/NH-Dark_bamboo_rug.png/revision/latest?cb=20200329071218	6x bamboo piece	https://vignette.wikia.nocookie.net/animalcrossing/images/9/99/NH3.0x2.0sq.jpg/revision/latest?cb=20200416062231		960
Dark wooden-mosaic wall	https://vignette.wikia.nocookie.net/animalcrossing/images/f/f5/NH-Dark_wooden-mosaic_wall.png/revision/latest?cb=20200409050211	15x wood	NA	Island resident	1,800
Forest flooring	https://vignette.wikia.nocookie.net/animalcrossing/images/f/f4/NH-Forest_flooring.png/revision/latest?cb=20200409050217	1x rare mushroom2x round mushroom2x skinny mushroom2x flat mushroom10x clump of weeds	NA		35,000
